ajoneuvoluokka,merkkiSelvakielinen,kaupallinenNimi
L3,Moto Guzzi,BREVA 750-LL000
L1,Victoria,Vicky Luxus
L1e,Tomos,Standard
L3e,Yamaha,XJ 6 S
L1e,Yamaha,XF50 GIGLE
L3e,Harley-Davidson,FXCFC
L3e,Malaguti,MADISON 3
L3,Jawa,559 / 249
L3,Honda,GL1500C Valkyrie
L3e,Beta,RR4T 400CC
L3,Buell,Cyclone M2
L3e,Yamaha,FZ1-RN165/998
L3,Honda,Honda Pc21
L3,Harley-Davidson,Heritage Softail Nostalgia
L1e,Mustang-Z�ndapp,CROSS
L1,Jupiter,Safir
L3,Honda,CB 750c
L3,Harley-Davidson,SOFTAIL FXST
L3e,Harley-Davidson,FLHTCSE ELECTRA
L3e,Honda,VALKYRIE
L3,Moto Guzzi,NORGE 8V COMPETITION
L3,Suzuki,GSX750ES-GR72A
L3,Harley-Davidson,FLHS 1200 SHOVELHEAD
L1,STEYER-PUCH,MONZA
L3,Ducati,SUPERSPORT-ZDM 600S
L3e,Yamaha,XJ6F
L3,Ducati,916 MONSTER S 4
L3,Zundapp,DB 200
L3e,Moto Guzzi,V11 SCURA
L3,Honda,GL 1000 LTD
L3e,Harley-Davidson,V-ROD MUSCLE
L3e,BMW,K1200 GT
L3,Honda,Africa-Twin 750
L1e,Hanway,STM 50
L3e,Kawasaki,VN 1500 CLASSIC TOURER
L1,Tunturi,Automatic
L1e,Honda,NPS 50  ZOOMER PGM-Fi
L3e,Harley-Davidson,FLHRCI Road King
L3,BMW,R 90 S
L1,Puch,KANSAS
L3e,Harley-Davidson,FLTRUSE CVO Ultra Road Glide
L3,HEINKEL,TOURIST
L3,Kawasaki,VN 1500 /1471
L3,Honda,GOLD WING 1500 SE GL
L3,Harley-Davidson,FX-1200/1206
L3,Montesa,COTA 349
L3,Honda,GOLD WING-GL1800-SC47F
L3e,Honda,VFR800X
L3,Yamaha,VMX1200-2WEE
L3,Honda,VARADERO 1000V
L3,Triumph,TR6
L3,Yamaha,XVS1100 V-STAR CLASSIC-VP11
L3e,Victory Motorcycles Division,Ness Vision ABS
L3,IC,56M
L3,Harley-Davidson,FLSTSI Anniversary
L1,Ase,DE LUXE G3/49
L3,BSA,B-31
L3,KTM,620 SC
L3,Kawasaki,VN1600
L3e,Moto Guzzi,Falcone Sport
L3,Monark,Monark 125 T
L1e,Derbi,SENDA SM DRD XTREM
L3e,Royal Enfield,500 Twin
L3e,Moto Guzzi,Nevada 750 Rosso
L2,Erkkola,MOE10
L3e,Kawasaki,KZT 1300
L3,BMW,R 51/3
L3e,BTM,HERO125
L3,Jawa-CZ,356/172
L3,Suzuki,VX800-VS51B/805
L1e,Longjia,SPEEDFORCE
L3e,Jawa-CZ,248
L1e,Longjia,DIGITAL
L3,Adler,MB 250
L3,Honda,CBR900RRW
L3,Harley-Davidson,FXDL DYNA LOW RIDER/1450
L3e,Yamaha,XVS1100 DRAG STAR-VP05
L3,Harley-Davidson,FLHTCUI-ULTRA GLASSIELECTRA GLIDENC -FCW/1449
L3,Honda,VT 800 CJ Shadow
L3,Suzuki,VZ-800 Marauder
L3e,Yamaha,XVS650 DRAG STAR CLASSIC
L3,Honda,ST70-GII/72
L3,Harley-Davidson,XL1200C Sportster Custom
L1e,Keeway,F-ACT EVO
L3,AMERICAN IRONHORSE,TEXAS CHOPPER
L3,Kawasaki,VN 750 A
L3,Harley-Davidson,DYNA LOW RIDER
L3,Harley-Davidson,FXST Custom
L3,Kawasaki,ZX-6RR-ZX600N/599
L1,Tunturi,PUCH VS
L3,Honda,VTX1300-SC52/1312
L3,Harley-Davidson,FLHRI Road King
L1,Solifer,SM 85
L3,Triumph,TR5
L3e,BMW,R 75/6
L3,Kawasaki,1000R-Z1000R2-KZT00R/998
L3,Moto Morini,3 1/2
L1e,Aprilia,RS4
L3e,TM,250 4 TEMPI
L3,Honda,VT800CJ Shadow
L1e,XUFENG,XF50QDT-2
L3e,Yamaha,XVZ 13
L3e,Polini Motori,XP4
L1,Tunturi,Sport 65
L3e,BMW,R1200 GS
L3,Triumph,Bonneville T120
L1e,Piaggio,VESPA LX 50
L3,Suzuki,VL1500 INTRUDER LC-AL1111/1462
L3e,Harley-Davidson,FXDS DYNA CONVERTIBLE/1340
L3,Honda,F6C VALKYRIE STANDARD
L3,Harley-Davidson,FXR CUSTOM
L3,Ariel,NH 347
L3e,Suzuki,GSX 1300 R1
L3e,Honda,GOLD WING 1500 GL
L3,Suzuki,AN650 BURGMAN-BU1114/638
L3e,Piaggio,GTV 250ie
L1e,Derbi,SENDA SM 50 DRD RACING
L3e,Piaggio,VESPA GTS 300 SUPER
L3e,BMW,F 800GS
L1e,Tunturi,CITY PUCH E50/49
L3e,Harley-Davidson,FLHRSI
L3,Jawa,11
L3,Harley-Davidson,FLHTCUI Ultra Classic
L3e,BMW,K1200 LT
L3,Lambretta,150LI
L1,Zundapp,SUPER COMBINETTE
L3e,Harley-Davidson,SPORTSTTER 1200
L3,Honda,VFR 800FI
L3,Matchless,G9
L3e,Kawasaki,NINJA ZX-9R-ZX900C/899
L3e,Yamaha,SPORT 80 YGS1F
L3,Suzuki,LP 650P
L2,Erkkola,MOE-2/47
L3e,Honda,VTX 1800 SC46
L3,Harley-Davidson,XL 53C SPORTSTER CUSTOM 53 CJM
L3,Maico,M 250/B
L3e,Harley-Davidson,FLT 80 TOUR GLIDE
L3e,Harley-Davidson,XLH SPORTSTER-883 DELUXE
L1e,Tunturi,AUTOMAT VS 50 KA
L1,Tunturi,58/MS50
L3,Moto Guzzi,V11
L3,Harley-Davidson,XLH-1CAN/1100
L1e,YONGHENG,TDX18Z
L3,Harley-Davidson,FXST SOFTAIL-CUSTOM 1340
L1,Velo-Öglaend,TER�SSIIPI
L1,Crescent,1136/47
L3e,TM Racing,EN 250 2T
L1e,Yamaha,Yamaha Aerox
L3e,Honda,VT750C SHADOW-RC44A/745
L3,MZ,TS-125 / 123
L3,Suzuki,GSX 600R
L3e,Triumph,BONNEVILLE 900
L3e,Kawasaki,NINJA ZX-900E
L3,BMW,K1100LT-100/1092
L3,Harley-Davidson,Dyna Glide Convertible
L3,Triumph,rocket III touring
L1,Trygg,Swing/47-
L3,Honda,GL1500 Interstate
L3,CZ,455-02/246
L3,Kawasaki,Z1100ST-KZT10A/1089
L3e,Honda,VTX1800C2
L3,Honda,GL 1500 SE
L1,Tunturi,Start-Puch VS50KX
L1e,Nicom,NICOM
L1e,Derbi,Xtreme
L3e,Honda,XR600
L3,Triumph,T 110
L3,Harley-Davidson,Dyna Super Glide Custom
L3,BSA,A10 SUPER ROCKET
L3,BSA,A10 Golden Flash
L3,Harley-Davidson,FXDS
L3,Triumph,Legend TT
L3,Honda,X4 CB1300 DCX
L3e,Yamaha,FJR1300-RP042/1298
L1,Tunturi,SPORT 65-LF3/49
L3,Yamaha,YAMAHA VMAX 1200 2LT/1198
L3,Harley-Davidson,FXSTB Softail
L3e,Harley-Davidson,FLTRI ROAD GLIDE
L3,Honda,GL1500
L3e,Honda,VFR800F
L3,Suzuki,GSX-R750-GR75A/749
L3e,Kawasaki,ZZR1400ABS
L3e,IC,56
L3e,Yamaha,XVS1300A-VP261/1304
L3,Moto Guzzi,GRISO 850
L3,Kawasaki,ZX-10-ZXT00B/997
L3,Yamaha,FZ-1
L3e,Honda,MAGNA
L3,Panther,M120
L3,Cezeta,501
L3,BMW,R90-S/898
L3e,Jawa,S554
L3,Kawasaki,ZX-10R Ninja
L3,Honda,VT750DC Shadow Spirit
L1,Tunturi,MAXI SUPER SPORT
L3e,KTM,KTM 125 Duke (115)
L3e,Harley-Davidson,FLSTSE2 CVO Softail Convertible
L3e,KTM,640LC4
L1,Solifer,Speed SM
L1,Monark,M 61 K
L3e,KTM,KTM 350 EXC-F
L3,Triumph,SPEED TRIPLE-595-TE551X/955
L3,Honda,CB600 F HORNET
L3e,IC,PLANETA 3
L1,Tunturi,50H/49
L1,Tunturi,MIKRO E50/48
L3e,Yamaha,FZS1000-RN06
L3,Panther,52 K 900
L3e,Kawasaki,VN 1500 CLASSIC-VNT50A
L3,Honda,HONDA VFR 800FI
L3e,KTM,KTM 500 EXC
L3,Honda,GOLDWING GL1500
L3,Jawa,559 / 250
L1,Tunturi,Automat PUCH VS 50 KA
L1e,GREENTRANS,EM98
L3,American Iron Horse,Tejas
L3,Suzuki,INTRUDER VS 1400
L1,Tunturi,Mikro
L3,Yamaha,XT 600 Z Tenere
L1e,Piaggio,Vespa lx 50
L3e,Moto Guzzi,CALIFORNIA VINTAGE BIANCO
L3,Suzuki,Bandit S 1200
L3e,Honda,CX 650
L1,Zundapp,M50-434-03-/49
L3e,Husqvarna,WR 360 H4
L3,Honda,VFR800-RC46C
L3e,Suzuki,SV 1000 K7 Classic
L3e,KTM,K.T.M. Lc-4640e
L3,Triumph,Speed Twin
L3e,BSA,A50
L3,BSA,VIKTOR 44
L1,Solifer,SPEED 74-TOMOS
L3e,Piaggio,VESPA LX 125 TOURING
L3,IMZ,M-72
L3,Honda,RD08
L3e,KTM,950 Superenduro
L3,Harley-Davidson,FLHT C
L3e,Harley-Davidson,FLHTCUI ELECTRA GLIDE ULTRA CLASSIC
L3,Harley-Davidson,FXSTS SPRINGER SOFTAIL-BLL
L3e,Harley-Davidson,FLSTNI Softail Deluxe - JDB/1450
L3,Suzuki,GSF600-A81122/600
L1,Zundapp,515-050 Sport Combinette Export
L3e,Ducati,MONSTER 1100 ABS
L3,Norton,DOMINATOR
L3e,KTM,K.T.M. 640 Lc4
L3,Honda,CB 100 SS
L3,Suzuki,GSF 600 BANDIT
L1,Öglaend,SWING-2MA/47
L3,Harley-Davidson,FLSTN
L3,Suzuki,VX51L
L3,Harley-Davidson,CYL FXDI
L1e,Regulus-Öglaend,SPORT 2MA/47
L3,Suzuki,GSX 1300 RX
L3e,Harley-Davidson,Sportster XL 1200
L3e,Suzuki,INTRUDER VL1500 LC
L3e,Jawa,353-07/248
L3,Yamaha,Twin Jet 100 Y33
L3,BMW,F650-169/652
L3e,Loncin,PRO
L3,Jawa,559/250
L3e,Jawa,553/249
L3e,Ducati,Multistrada 1200 ABS
L3,BLIXT,150
L1,Peugeot,101 MT-D
L3,Honda,CB 500    PC32
L3,Harley-Davidson,FXRS LOW RIDER / 1340
L3e,Yamaha,Yamaha Xv 1600 A
L3,Ducati,Scrambler
L1e,Panther,500
L3e,Suzuki,DL650 B11111/645
L3e,Yamaha,XS 650 SPECIAL
L3e,Honda,Super Sport CB-100/99
L3,Vespa,RALLY 200 VSE-IT-IM200/198
L1e,Keeway,Agora
L1e,Znen,ZN50QT-20
L1e,Znen,ZN50QT-F
L3,Harley-Davidson,FXDWG-GP4/1584
L3,NIMBUS,STANDART
L3,NSU,175-OSB MAXI
L3e,Honda,SH300A-NF02B/279
L1,Tunturi,Maxi Puch VS50LF / 49
L3e,Yamaha,YFR-R1
L3e,Ducati,DESMOSEDICI RR
L3,Honda,CM 400
L3,CZ,250
L3e,Yamaha,3L1 XS 650SE
L3,Ducati,MONSTER 900
L3e,Harley-Davidson,FLSTC HERITAGE CLASSIC
L3,Harley-Davidson,FLHTCU Electra Glide
L3,Jawa,579 SIX DAYS
L1,Jupiter,PRIOR 219
L3e,Fantic,TZ 125
L1e,YINMU,YM50QT-15
L3e,Kawasaki,VN 1500 CLASSSIC
L3,Harley-Davidson,ROAD KING FLHRI
L3e,Aprilia,Scarabeo 400
L3,Honda,CM400T-NC01/395
L1,BAOTIAN,BAOTIAN BT49QT-9
L3,Vespa,VESPA POPOLINO
L3e,Harley-Davidson,FL2/FLHPI Road King Police
L3e,Suzuki,CAVALCADE LXE
L1,Jupiter,219 Hercules
L3,Triumph,T 120 R BONNEVILLE
L1e,Tunturi,VS50 LF/50H/49-
L3,Honda,CBX 750
L3,Royal Enfield,Bullet
L3e,KTM,990 SUPERMOTO T 72kW
L3,Yamaha,DT 125 Enduro
L3,Harley-Davidson,HARLEY-DAVIDSON  HERITAGE SOFT TAIL FLST
L3,Honda,PACIFIC COAST
L3e,Moto Guzzi,BREVA
L3e,Suzuki,GSXR
L3e,Honda,Honda Vt 1100 C2
L3,Omavalmiste,KNUCKLE HEAD
L3,MZ,RT 125
L1,Tunturi,Start/Puch VS 50 KX
L3e,Yamaha,XT660 Z TENERE
L3,CZ,CZ 471
L3e,Honda,CBF600S/SA
L3,Harley-Davidson,FLTRI ROAD GLIDE/ 1340
L3,Honda,Goldwing Gl1100
L1e,Öglaend,SWING-47
L3e,Royal Enfield,CLASSIC 500 CC
L3,IC,PLANETA 2
L1e,BENDA,BD-EB-BCC
L1,Puch,MS 50
L3,Kawasaki,EL 250 B
L3,Yamaha,SPORT 80
L3,Suzuki,XF650
L1e,Solifer,3-Speed
L3,Triumph,Thunberbird 1600
L3,BSA,TRX75
L3e,Kawasaki,ER6-N ABS
L3e,Harley-Davidson,XL SPORTSTER 1200-CGP/1199
L3e,Piaggio,Vespa PX150 E
L1,Puch,"1,4-MS50"
L3e,Harley-Davidson,FLHTCI ELECTRA GLIDE  CLASSIC-FFW/1450
L3,Sunbeam,S7 Twin
L3e,Harley-Davidson,Electra glide classic
L3,Omavalmiste,ACS SIEGEN
L3e,Piaggio,Vespa GTS
L3,Dniepr,MT 11
L3e,Kawasaki,CONCOURS14
L1,Solifer,Export Thermomat F-38/48
L3e,Harley-Davidson,Electra Glide Ultra Classic
L3e,DH. Haotian,HT125T-K
L3,Honda,RVT1000R-SC45/999
L3,PITK�,HIPPI KOPTERI
L3,Suzuki,Vs1400
L3,Honda,CBR1100X
L3,AJS,Silver Streak
L3,Honda,Vt 1100 Shadow
L3,Yamaha,VIRAGO 750
L3,Honda,RD 08
L1,Vesta,50
L3,Yamaha,Xs 1100
L1,Monark,T132 G50A
L1,Husqvarna,Cornetto
L3e,Orion,RX125
L1,Tunturi,PUCH VS 50 LF
L1,Jupiter,Jupiter 50/47
L3,Honda,CM 400 T
L3,BMW,R 50/5
L3e,IC,Jupiter 350
L1,Tunturi,SPORT-PUCH VZ50K3X/49
L1,Tunturi,MAXI -Puch VS50LF
L3,Ducati,999 BIPOSTO
L3,Harley-Davidson,FXDXT DYNA SUPER GLIDE T-SPORT-GLV
L3,Triumph,BONNEVILLE-TJ901/790
L3e,Honda,Vtx1300s
L3e,american ironhorse,aih
L3,KTM,640 LC4 SUPER MOTO
L3,BSA,A65L/654
L1e,Tunturi,VS50 LF
L1e,Tunturi,VS50 KA  AUTOMAT
L3,Triumph,TIGER T709
L3,Honda,Goldwing 1500se
L3,Harley-Davidson,XL883L
L3,Triumph,LEGEND TT--TC396J/885
L3,Honda,VT500C
L3,Kawasaki,VN1500 -VNT50G
L3,KTM,KTM 525 EXC-RCA4/510
L3,Harley-Davidson,FXDC
L3e,Kawasaki,ZX-10R  NINJA
L3e,Kawasaki,VN 1700 CLASSIC TOURER
L3e,Kawasaki,VNT1700 CLASSIC
L3,Harley-Davidson,XL1200N
L3,Triumph,TIGER T100T
L3,Harley-Davidson,FDX
L3,BSA,DB34 Gold Star Scramble/500
L1,Pyrkij�,50 N2F
L3,Suzuki,SUZUKI  1400  VX 51L
L3,Harley-Davidson,FXDI
L3,KTM,125 Duke
L3e,Husqvarna,Turist 281
L3e,Husqvarna,TE 511
L1e,Xmotos,Moped
L3e,KTM,EXC-250
L3,Yamaha,Yamaha Xz 550 11u
L3,Velocette,Velocette Mac 350
L3,Kawasaki,90-GA2-A/89
L3e,Harley-Davidson,softail springer
L2,FMR,Mokuli Typ 130 Glamour
L3e,BSA,B 31
L1,Tunturi,LF2 -68/49
L1e,Keeway,F-ACT CITY
L1,Honda,Monkey Z50 AK
L1e,MBK,BOOSTER
L3,Harley-Davidson,FLHT-CLASSIC TOURING
L1,Tunturi,BREAK-PUCH VZ50N4/49
L3,Suzuki,VS 750 INTRUDER
L1,Tunturi,Standard LF-68/49
L3e,BMW,R80 RT
L2,Monark,Transport
L3,Harley-Davidson,SPORTSTER LH
L3,Harley-Davidson,FLH-1200 ELECTRA GLIDE
L1e,EMAX,90S
L3,Yamaha,YP125 MAJESTY
L3,Triumph,DAYTONA 955I-595-TE502L/955
L3,Harley-Davidson,XL1200C SPORTSTER CUSTOM-CGP/1202
L3e,Moto Guzzi,NEVADA
L3e,Suzuki,AN 650 WW. BURGMAN 650
L3,Yamaha,Street 350-R5/347
L3e,Harley-Davidson,FLSTFB FAT BOY SPECIAL
L1,Tunturi,AUTOMAATTI AF-65/49
L3,Suzuki,DR650RE
L3e,Honda,CB750C- RC 06/748
L2e,Piaggio,APE 50 VAN
L1e,Tunturi,AUTOMAT VS50AF
L3e,Yamaha,XV1600A
L3,NSU,Super Fox
L3,Suzuki,VS 700
L3e,Honda,VTX 1800 S
L3e,Royal Enfield,Bullet 500
L3,Harley-Davidson,FLHTCU
L3e,Honda,VTX1300-SC55A/1312
L3e,Suzuki,VL 1500 INTRUDER-AL1111
L3,AJS,350
L3e,KTM,950 Supermoto
L3,Honda,GL1500 F6C
L3e,Harley-Davidson,FLHTPI ELECTRA GLIDE
L3e,BMW,R850 RT-0417A/848
L3e,Solifer,YY125T-12
L3e,MV Agusta,F4 RR
L3,Matchless,G 80
L3,Royal Enfield,BULLET 350 Thunderbird
L3,Harley-Davidson,FLSTCI Heritage Softail Classic
L3e,Harley-Davidson,ELECTRA GLIDE-PKE/1690
L1,Solifer,SPEED-F37L
L3,Harley-Davidson,FXSB  1340
L3e,Harley-Davidson,XL 1200C SPORTSTER
L1e,Piaggio,Vespa LX50
L3,Harley-Davidson,FXSTSB BAD BOY-BPL
L3,Jawa,PERAK
L3,Ultra Cycle,Ground Pounder
L1,Solifer,EXPORT-2LT-F-38
L3e,Royal Enfield,BULLET EFI
L3,Jawa,250 PERAK 11
L3e,Suzuki,V-STORM
L3,Honda,CBR 900 Fireblade
L3e,Piaggio,VESPA LX 150
L3,Dniepr,MT10-36
L3,Aprilia,Pegaso 650-ML-00/651
L3,Harley-Davidson,Night Rod
L3e,Harley-Davidson,FLD Switchback
L3,BMW,75
L3,BSA,Star
L3,Husqvarna,H802B
L3,AERMACCHI,Chimera 250
L3,Harley-Davidson,Dyna Custom
L3,IC,Jupiter
L1,Solifer,TOMOS 4V/49
L3,Honda,Super Sport CB-100
L3e,Kawasaki,VN 1500 CLASSIC TOURER-VN 1500G-VNT50G/1471
L3,Suzuki,GSX250-GS25X/249
L3e,Harley-Davidson,FLHRCI ROAD KING
L3,Harley-Davidson,FXRS Low Glide -EBL/1340
L3e,Kawasaki,ZR750J
L3,Harley-Davidson,FLHP-80 Police
L3e,Husaberg,Husaberg TE 125
L3e,KTM,350EXC-F
L3,Harley-Davidson,Harley-Davidson
L1e,Keeway,F-ACT RS
L3,MZ,125-3
L3e,Suzuki,INTRUDER VS 1400GLP-VX51L/
L1,Tunturi,MAXI VS50
L3,Harley-Davidson,FLHTC-ULTRA
L3e,Royal Enfield,BULLET  EFI
L1,Husqvarna,4142
L3,Puch-Tunturi,DS 60 R
L3,Harley-Davidson,Touring
L3,Jawa,Type 11
L3,Harley-Davidson,sportster
L3,Triumph,Tiger 900
L3,KTM,GS 250
L3,Honda,CBX600E
L1,Tunturi,50 LF2-65/49
L3e,Harley-Davidson,ELECTRA GLIDE  CLASSIC
L3e,BMW,R60/7
L1,Tunturi,Puch F
L3,Triumph,TWENTY-ONE
L3e,Beta,RR4T
L3,Triumph,Thunderbird 6t
L3e,Piaggio,SFERA 125
L3,MZ,MZ-125-3/123-61
L3,Harley-Davidson,FXDB-GX4/1584
L3e,Xingyue,ARTERY
L1,Jupiter,Hercules 220/47
L3e,Victory Motorcycles Division,High-Ball
L1e,Tunturi,MAXI START
L3,Honda,GOLD WING-GL1800-SC47A
L3e,Honda,GL 1800 A
L3,Harley-Davidson,FXE Super Glide
L1,Tunturi,VS50AF
L1,Husqvarna,Novollette
L1,Tunturi,VS50KA
L3,Suzuki,GSXr
L1,Simson,SR 2 E
L3,Honda,Vigor FX 650
L3e,Harley-Davidson,ML 14
L1,Solifer,Solifer SM
L3,Harley-Davidson,FXE1200
L3,Honda,HONDA PC 800
L3,DANUVIA,125/124-63
L3e,Harley-Davidson,VRSCDX Rod
L3,Suzuki,GS1000G
L3,Harley-Davidson,FXRS 1340 Low Rider
L3,Husqvarna,Silverpilen Cross
L3,Yamaha,XS 400 MAXIM
L3,Kawasaki,Z1000 ST
L3,Monark,MONARK M550 Blue Arrow
L3,Honda,CB 250T
L1e,Erider,Erider
L3e,Kawasaki,VN 1500 Classic
L1,Solifer,EXPORT 73
L3,Honda,GOLD WING GL1500-SE-SC22/1520
L3,Honda,GL1500C-F6C-SC34
L3e,Harley-Davidson,VRSCDX-ANV Night Rod Special
L3e,Aprilia,Sxv 550
L3,Honda,VF750C-RC43/748
L3e,Triumph,TIGER 1050
L3,Honda,NT650 DEUVILLE
L3e,Kawasaki,ZX900CE
L3,Yamaha,XT 250
L3,Triumph,Bonneville T140 V
L3,Harley-Davidson,1340 Softail Fat Boy
L3,Harley-Davidson,1200 Pan Head
L3,Harley-Davidson,DUO-GLIDE
L3e,Kawasaki,1400 ZZR
L3e,Kymco,Yup 250
L3e,Jawa,350 Sport
L3,MAGNI,MAGNI-HONDA 1100R
L3e,Harley-Davidson,XLs 1000
L3e,MZ,RT/2
L3,Suzuki,Suzuki Xn 85
L3,BIG DOG,CHOPPER
L3,Vespa,SPRINT VLB1T/145
L1,Tunturi,SPORT VZ50 K3X-71/49
L1e,Piaggio,LX 50
L3e,Harley-Davidson,FLHTCUSE7 CVO Ultra Classic Electra Glide
L3e,Harley-Davidson,FLHXSE3 CVO Street Glide
L3,Ducati,900 MONSTER
L1e,Malaguti,PHANTOM F12 R
L3e,Suzuki,SV 1000
L3,Harley-Davidson,FLTR-I
L3,Suzuki,SUZUKI GS 850
L3e,Honda,Pantheon
L3e,Suzuki,VL800 INTRUDER VOLUSIA-BM1112/805
L3,Jawa,JAWA 350 634
L3,Honda,CB 550 K
L3e,Velocette,LE 200
L3,Jawa,553-02/249
L3e,Honda,VF 750 MAGNA-RC07
L3e,Suzuki,INTRUDER 1400-VX51L/
L1e,Honda,NSC50WH
L3e,Gas Gas,ENDURO
L3,Harley-Davidson,FXD Super Glide
L3e,ZERO,MXD
L3e,Yamaha,XV1600 WILD STAR
L3,Honda,HONDA CB900 F2
L3,Honda,HONDA CB 750 G
L3,Honda,HONDA CB 900 F
L3,Suzuki,GS1000 L
L3,Ariel,Ariel VB 600
L3,Royal Enfield,350 CC
L3e,Honda,VTX1300C
L3,Norton,DOMINATOR 7
L3,Kawasaki,Z 650-B2
L3e,Moto Guzzi,NORGE 8V NERO COMPETITION
L3e,Moto Guzzi,BELLAGIO LUXURY
L3e,Honda,NC700XA
L3e,Kawasaki,VN 1500 MEAN STREAK VNT50P
L3,Kawasaki,KL650C
L3e,Kawasaki,VERSYS 1000
L3,Honda,NX 650P
L3,Triumph,Tiger Cup
L3,BMW,R2 Serie 4
L3e,Aprilia,Sx 125
L3e,Gilera,GILERA GP800
L3,HOREX,REGINA
L3e,Honda,SHADOW-VT1100Cr-SC32/1099
L3e,BMW,G 650 GS Sertao
L3e,Suzuki,SAWAGE LS 650 P
L3,Suzuki,SUZUKI DR 250
L3e,Husaberg,FE 570
L3,Harley-Davidson,FXDL-HDL/1340
L3e,Harley-Davidson,Z-90
L3e,MV Agusta,F4 R
L3e,Honda,CBF 1000-SC64B/
L3,Harley-Davidson,350
L3e,BSA,Bsa B33
L3,Harley-Davidson,FXD DYNA SUPER GLIDE/1449
L3,Suzuki,GT 125 L
L3,Vespa,GL150/145
L1,Öglaend-Hero,SWING-2MA
L1e,Piaggio,ZIP
L1e,Yamaha,BW'S
L3,Spcns,FXSTC SOFTAIL CUSTOM-GZ0/1340
L3,Harley-Davidson,FXR SUPERGLIDE
L3e,Harley-Davidson,ROAD GLIDE FLTRX
L3e,KTM,KTM 690 Enduro R (49kW)
L3e,Harley-Davidson,FLS Softail Slim
L3e,Harley-Davidson,XL 1200V Seventy-Two
L3e,Harley-Davidson,ULTRA CLASSIC ELEKTRA GLIDE
L3e,Kawasaki,VN 1500 CLASSIC TOURNER-VNT50G
L3e,Yamaha,XV750 VIRAGO-4PW
L3e,Honda,VT750C2 SHADOW-RC44A
L3,Moto Guzzi,V7 Ambassidor
L3,Honda,Shadow VT600
L3e,Honda,VT750CS
L3e,Ducati,MULTISTRADA 1000 DS-A100AA/992
L3e,Harley-Davidson,FXWG80
L3e,Ducati,Streetfighter 848
L3,Yamaha,XJ 400 4V7
L3,Yamaha,XS 400 SE 4G5
L3e,Yamaha,XV 1000 VIRAG0
L3,Honda,HONDA CX 500
L3e,Yamaha,XV 1000 TR1
L3e,Husqvarna,NUDA 900
L1e,MTX,URBAN BIKE
L1e,Benzhou,50QT-15
L3,Dunstall-Norton,Norton
L1e,Tunturi,LF2/66-49
L3e,Norton,COMMANDO MK3/828
L1,Helkama,Raisu-81
L3,KTM,Sky Team
L3,Yamaha,XS400SE
L3e,Moto Guzzi,Gardellino Lusso
L3,Harley-Davidson,FLHTPI ELECTRA GLIDE STANDARD POLICE /1449
L3e,BMW,R1100 R
L1e,Solifer,URBAN BIKE
L1,Fantic,Tossu
L1e,Mad Croc,URBAN BIKE
L3e,Harley-Davidson,TXSTDI
L1e,Husqvarna,Cornette
L1e,Raleigh,Revenger
L3e,KTM,300EXC
L3e,Gilera,Nexus
L3e,Harley-Davidson,FLHTCUSE2 SCREAMIN' EAGLE ULTRA CLASSIC ELECTRA GLIDE
L3,Honda,GL1500C-F6 VALKYRIE
L3e,TM Racing,300
L3e,Honda,NC700D
L3e,Honda,VFR1200X
L3,Honda,HONDA CB 650 C
L3e,Husqvarna,SMR 511
L3e,KTM,KTM 690 SMC R (49kW)
L3e,Yamaha,XV 1600A WILD STAR
L3e,Harley-Davidson,FXDCI
L3,Husqvarna,299 EF/125-52
L3,Ducati,800SS
L3,Honda,CM400C
L3e,Harley-Davidson,XL883R
L3,Harley-Davidson,XLCH-1000 Sportster
L3e,Honda,CBR250R
L3e,Yamaha,WR450
L3e,Harley-Davidson,FLHTCI- ELECTRA GLIDE
L3e,SPCNS,CUSTOM 2000
L3e,Buell,XB12X ULYSSES
L3e,Honda,CB 900 F2 Bol Dor
L1,Jupiter,J2-GARELLI HORIZONTAL CH 30 / 49
L1e,Raleigh,FS2
L1,Tunturi,50 H/49
L3e,Kawasaki,VN1500P
L3e,BMW,R1200 Gs
L3e,Yamaha,XCITY (VP250)
L3,Suzuki,SUZUKI VS 1400 INTRUDER
L1e,Peugeot,XP7
L3e,Husqvarna,NUDA 900 R
L1e,Wangye,WY50QT-86
L1e,Solifer,50RETRO
L3e,Victory Motorcycles Division,CROSS ROADS CLASSIC LE
L3e,Victory Motorcycles Division,Cross Country Tour
L3,Simson,250 Sport
L3,Harley-Davidson,FLHRC-I
L3e,Suzuki,Intruder VL1500W
L3e,Honda,CBR1000RR-SC57C/998
L3e,Honda,GOLD WING-GL1800A-SC47A/1832
L3,Yamaha,100 TRAILMASTER
L3,Yamaha,MT01-RP121/1670
L3,Honda,St 1100 Pan Europe
L3,Yamaha,1100 XS
L3,Moto Guzzi,850 T3 CALIFORNIA
L3,Honda,CBX 650 E-RC13E/655
L3,Harley-Davidson,Sport Glide Police
L3e,Suzuki,GSXR1000
L3e,Vespa,VESPA 100 SPORT
L3e,Jawa,559/00
L3e,Honda,XL 1000
L3,Harley-Davidson,Harley-Davidson FLHT
L3,Suzuki,Intruder VS 1400
L3,Yamaha,XVZ13TD
L3e,KTM,KTM 250EXC
L3e,Honda,XL700VA-RD13B/680
L3e,Honda,NT700VA-RC52B/680
L3e,Honda,CBF1000A-SC58B/998
L3e,Triumph,Tiger Explorer
L3e,Suzuki,GSX 1300 R
