ajoneuvoluokka,merkkiSelvakielinen,kaupallinenNimi
L3,Honda,CBR 600F
L3,Royal Enfield,BULLET 500-AB/499
L3,Royal Enfield,CLIPPER 350/346-61
L1,Derbi,DRD R-SDR1GB/49
L3e,Ducati,S4RS
L1,Solifer,TAVARAMOPO-TOMOS 4V/49
L3,Suzuki,VX800-VS51B
L3e,Suzuki,VL1500
L1,Peugeot,VIVACITY 50-S1C0KA-NL/49
L3,Suzuki,RG125F
L3,Aprilia,RSV 1000-RR000/998
L3e,Vulcan,VULCAN CUSTOM 125-TSPJM/124
L3,Triumph,SPEEDMASTER-TJ913Y/790
L1e,Kinroad,PRINCE
L3e,Harley-Davidson,FLHTCU ULTRA CLASSIC ELEC
L3,Honda,VT125C SHADOW-JC31A/125
L1,Solifer,SM
L3,Kawasaki,ZR-7S-ZR750F/739
L3,Harley-Davidson,FLHRCI ROAD KING CLASSIC-FRW/1449
L3,Vespa,160 GS VSB1T/159
L3e,Yamaha,XVS1300A
L3e,Qingqi,YUKI 250 VISTA
L1,Kymco,SUPER-9-S1/49
L1,Yamaha,Passola
L3e,Honda,CBR 1000RR
L3e,Harley-Davidson,XL 1200C SPORSTER CUSTOM-CGP/1202
L3,Kawasaki,NINJA ZX-6R-ZX636A/636
L1,Solifer,Speed
L1,Gas Gas,EC 50 ROOKIE-EC0500/49
L3,Suzuki,GSF600-A81121/600
L3,Triumph,LEGEND TT-309-TC396J/885
L3e,Triumph,BONNEVILLE T100
L3,Yamaha,WARRIOR 1700-VP14/1670
L1,Piaggio,DIESIS 50-C34100/49
L3,Suzuki,GSX600F-AJ1113/600
L1e,Lifan,DIRT BIKE 50QGY
L1e,Kymco,SUPER-9-S10020/49
L1,Solifer,Speed 4V
L3e,Yamaha,FZS1000
L1,Derbi,ATLANTIS 50-AL1A1A/49
L3e,Harley-Davidson,VRSCDX NIGHT ROD SPECIAL
L1,Solifer,TS-50S-TOMOS 4V/49
L3e,Triumph,SPRINT ST
L3e,Harley-Davidson,FLHTI ELECTRA GLIDE
L3,Suzuki,AN400 BURGMAN-AU1211/385
L3e,Triumph,SPEEDMASTER
L3,MZ,RT 125-3/123
L1e,Gilera,RCR G11A1A/49
L3,Moto Guzzi,NEVADA 750-LK0100/744
L3,Ducati,SPORT 750-V200AA/748
L3,Aprilia,ATLANTIC 500-PT001/459
L3e,Suzuki,VL800
L1,Piaggio,NSP 50 4T-C25/50
L1e,Sachs,MADASS
L3,Honda,VTX 1800-SC46A/1795
